87Rb/86Sr,87Sr/86Sr,Sr ppm,147Sm/144Nd,143Nd/144Nd,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,Unnamed: 11,176Lu/177Hf,176Hf/177Hf,187Re/188Os,187Os/188Os,OsT,Unnamed: 17,142Nd/144Nd
0.1505,0.705219,11.89,0.12349,0.512039,,,,,,,,,,,
0.1642,0.705526,10.2,0.16791,0.512443,,,,,,,,,,,
0.1838,0.705773,8.058,0.09736,0.511791,,,,,,,,,,,
0.16616666666666666,0.7055060000000001,10.049333333333333,0.133392,0.512091,13.36135,12.36325,33.6276,,,,0.12203249999999999,1.2,,,
0.0363,0.701532,41.3,0.5031,0.514898,,,,,,,,,,,1.138452
0.0402,0.701481,49.8,,0.514824,,,,,,,,,,,1.138374
0.0135,0.701626,,0.4834,0.514847,,,,,,,,,,,1.138436
0.195,0.702272,27.2,0.4905,0.514834,,,,,,,,,,,1.138382
0.07125000000000001,0.7017277500000001,39.43333333333333,0.415,0.514255,11.328949999999999,11.552299999999999,31.3305,,0.020226666666666667,0.28392799999999996,,,,,1.138411
0.6548,0.723069,29.21,0.24374,0.512311,14.937,13.742,35.075,,,,,,,,
0.5922,0.722963,36.74,0.40665,,,,,,,,,,,,
0.09612,0.721633,,0.23024,0.512242,16.899,14.575,36.829,,,,,,,,
0.6234999999999999,0.722555,32.975,0.2763325,0.512289,14.99775,13.78855,35.188900000000004,,0.0174,0.28223550000000003,11.86,0.16504,,,
0.397,0.72358,42.6,,,,,,,,,,,,,
0.479,0.72356,34.4,,,,,,,,,,,,,
0.353,0.72333,50.7,,,,,,,,,,,,,
0.3181,0.72345,60.12,0.2359,0.51231,,,,,,,,,,,
0.434,0.72369,50.21,0.2453,0.51234,,,,,,,,,,,
0.39622,0.723522,47.606,0.22713509689572886,0.5123243504695523,14.6511,13.6809,34.7805,,0.015873333333333333,0.28223914285714286,1.25575,0.11665750000000001,,,
0.1852,0.710724,11.11,0.361,0.512599,,,,,,,,,,,
0.1376,0.710625,19.94,0.346,0.512591,,,,,,,,,,,
0.1868,0.710769,5.77,0.3669,0.512591,,,,,,,,,,,
0.1992,0.710742,9.07,0.5233,,,,,,,,,,,,
0.17719999999999997,0.7107156666666666,11.4725,0.3690375,0.5125856,14.244552823645119,,,,0.0187925,0.28360425,0.46953333333333336,0.12814,,,
0.00637,0.708674,,0.45455,0.514424,,,,,,,,,,,
0.01985,0.707593,,0.47302,0.514543,,,,,,,,,,,
0.03082,0.7058,,0.4909,0.514685,,,,,,,,,,,
0.019013333333333333,0.7073556666666666,,0.4777175,0.5145506666666666,10.8916,10.8529,29.5536,,0.0425,0.28426599999999996,0.818,0.13567,,,
0.1405,0.711028,6.38,0.3261,0.51262,,,,,,,,,,,
0.1933,0.710839,9.92,0.4223,,,,,,,,,,,,
0.1193,0.711149,13.7,0.3447,0.512554,,,,,,,,,,,
0.15103333333333332,0.7110053333333334,10.0,0.36436666666666667,0.5125869999999999,,,,,,,0.076,0.12741,,,
0.1789,0.710808,14.4,0.36361,0.512636,,,,,,,,,,,
0.1666,0.71077,15.0,0.50629,0.512775,,,,,,,,,,,
0.1157,0.710433,15.4,0.3435,0.512592,,,,,,,,,,,
0.15373333333333336,0.7106703333333333,14.933333333333332,0.4044666666666667,0.5126676666666667,,,,,,,0.12,0.12888,,,
0.0432,0.701703,19.4,,,,,,,,,,,,,
0.0374,0.701575,20.3,,,,,,,,,,,,,
0.0443,0.701698,19.0,0.50812,0.514696,,,,,,,,,,,
0.0368,0.701598,21.8,0.50884,0.514713,,,,,,,,,,,
0.08252000000000001,0.7016435,20.125,0.48558666666666667,0.5147045,,,,,,,0.448,0.13041999999999998,,,
0.2071,0.710908,8.39,,,,,,,,,,,,,
0.2184,0.71094,,0.38514,0.512653,,,,,,,,,,,
0.2241,0.710934,,0.5514,0.512764,,,,,,,,,,,
0.0998,0.710696,,0.34461,0.512593,,,,,,,,,,,
0.18735,0.7108694999999999,8.39,0.42705,0.51267,,,,,,,0.116,0.12698,,,
0.0166,0.701714,,0.36515,0.515443,,,,,,,,,,,
0.0244,0.701009,,0.38328,0.515518,,,,,,,,,,,
0.02607,0.701037,,0.38562,0.515506,,,,,,,,,,,
0.0226,0.700931,,0.464,0.515828,,,,,,,,,,,
0.0224175,0.7009923333333333,,0.3926863333333334,0.5154797999999999,,,,,0.027124099999999998,0.2842,,,,,
0.1473,0.710915,12.9,0.3604,0.512499,,,,,,,,,,,
0.3014,0.711212,5.27,0.2692,0.512384,,,,,,,,,,,
0.0637,0.710916,,0.3065,0.512412,,,,,,,,,,,
0.2446,0.711141,,,,,,,,,,,,,,
0.18925,0.711046,9.085,0.31203333333333333,0.5124316666666666,,,,,,,0.236,0.1294,,,
0.1172,0.704688,58.9,0.14053,0.512168,,,,,,,,,,,
0.1139,0.704633,61.9,0.18661,0.512576,,,,,,,,,,,
0.1774,0.705506,33.0,0.1098,0.511896,,,,,,,,,,,
0.13616666666666666,0.7049423333333333,51.26666666666667,0.14564666666666667,0.5122133333333334,11.670749999999998,11.563949999999998,31.753124999999997,,,,,,,,
0.1992,0.706091,53.39,0.13745,0.512179,,,,,,,,,,,
0.2018,0.706107,58.27,0.13544,0.512149,,,,,,,,,,,
0.2005,0.706099,55.83,0.13644499999999998,0.5121640000000001,,,,,,,,,,,
0.2138,0.710871,10.4,0.36441,0.51261,,,,,,,,,,,
0.1438,0.710727,19.4,0.3581,0.51261,,,,,,,,,,,
0.1563,0.710767,18.8,,,,,,,,,,,,,
0.10387,0.710601,12.0,0.34528,0.512584,,,,,,,,,,,
0.1544425,0.7107415,15.149999999999999,0.35593,0.5126013333333334,,,,,,,,,,,
0.05638,0.705141,19.2,0.5422,0.515476,,,,,,,,,,,
0.04391,0.703969,26.22,0.79778,0.516052,,,,,,,,,,,
0.050144999999999995,0.704555,22.71,0.6699900000000001,0.515764,11.959366666666666,11.863999999999999,31.974166666666672,,,,,,,,
